GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_
"TRAVESSA MALVA PAVAO, 201, SAO PAULO, SAO PAULO - BRASIL","252064459054000019","252","064","459054","00","0019",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",110.00,75.00,TRAVESSA MALVA PAVAO,"201",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6337072","-46,4579535"
"TRAVESSA MALVA PAVAO, 167, SAO PAULO, SAO PAULO - BRASIL","252064459054000010","252","064","459054","00","0010",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",130.00,77.00,TRAVESSA MALVA PAVAO,"167",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,633408","-46,4579041"
"TRAVESSA MALVA PAVAO, 139, SAO PAULO, SAO PAULO - BRASIL","252064459054000003","252","064","459054","00","0003",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,75.00,TRAVESSA MALVA PAVAO,"139",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6331164","-46,457847"
"TRAVESSA MALVA PAVAO, 221, SAO PAULO, SAO PAULO - BRASIL","252064459054000024","252","064","459054","00","0024",SM,SRA,"2",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",200.00,118.00,TRAVESSA MALVA PAVAO,"221",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6338872","-46,4580262"
"TRAVESSA MALVA PAVAO, 217, SAO PAULO, SAO PAULO - BRASIL","252064459054000023","252","064","459054","00","0023",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",120.00,78.00,TRAVESSA MALVA PAVAO,"217",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6338188","-46,4580226"
"TRAVESSA MALVA PAVAO, 185, SAO PAULO, SAO PAULO - BRASIL","252064459054000015","252","064","459054","00","0015",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,74.00,TRAVESSA MALVA PAVAO,"185",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6335833","-46,4578957"
"TRAVESSA MALVA PAVAO, 213, SAO PAULO, SAO PAULO - BRASIL","252064459054000022","252","064","459054","00","0022",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",120.00,76.00,TRAVESSA MALVA PAVAO,"213",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6338306","-46,4579633"
"TRAVESSA MALVA PAVAO, 74, SAO PAULO, SAO PAULO - BRASIL","252069459054000026","252","069","459054","00","0026",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",110.00,75.00,TRAVESSA MALVA PAVAO,"74",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6325277","-46,4578883"
"TRAVESSA MALVA PAVAO, 135, SAO PAULO, SAO PAULO - BRASIL","252064459054000002","252","064","459054","00","0002",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,76.00,TRAVESSA MALVA PAVAO,"135",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,633041","-46,4579529"
"TRAVESSA MALVA PAVAO, 171, SAO PAULO, SAO PAULO - BRASIL","252064459054000011","252","064","459054","00","0011",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,72.00,TRAVESSA MALVA PAVAO,"171",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6334397","-46,4579417"
