GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND 
"AV MARIANA CALIGIORI RONCHETTI, 917, SAO PAULO, SAO PAULO,  - BRASIL","108119133744000129","108","119","133744","00","0129",CV,CAC,"1",S,S,ZC-ZEIS,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",87.00,110.00,AV MARIANA CALIGIORI RONCHETTI,"917",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,4587605","-46,6578184","0"
"RUA DOUTOR ORLANDO ZAMITTI MAMMANA, 184, SAO PAULO, SAO PAULO,  - BRASIL","070038150770000020","070","038","150770","00","0020",ST,MAN,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",158.00,91.00,RUA DOUTOR ORLANDO ZAMITTI MAMMANA,"184",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,480077","-46,6312512","0"
"AV MARIANA CALIGIORI RONCHETTI, 925, SAO PAULO, SAO PAULO,  - BRASIL","108119133744000130","108","119","133744","00","0130",CV,CAC,"1",S,S,ZCa,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",112.00,113.00,AV MARIANA CALIGIORI RONCHETTI,"925",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,4588051","-46,6578359","0"
"AV CRUZEIRO DO SUL, , SAO PAULO, SAO PAULO,  - BRASIL","073160055670000052","073","160","055670","00","0052",ST,STN,"2",S,S,ZEM,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2726.00,AV CRUZEIRO DO SUL,,D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,515457","-46,6252582","0"
"RUA DOUTOR ORLANDO ZAMITTI MAMMANA, 178, SAO PAULO, SAO PAULO,  - BRASIL","070038150770000021","070","038","150770","00","0021",ST,MAN,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",158.00,91.00,RUA DOUTOR ORLANDO ZAMITTI MAMMANA,"178",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,4800518","-46,6312949","0"
"RUA DOUTOR ORLANDO ZAMITTI MAMMANA, 188, SAO PAULO, SAO PAULO,  - BRASIL","070038150770000019","070","038","150770","00","0019",ST,MAN,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",158.00,91.00,RUA DOUTOR ORLANDO ZAMITTI MAMMANA,"188",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,4800148","-46,6312375","0"
"RUA VOLUNTARIOS DA PATRIA, 344, SAO PAULO, SAO PAULO,  - BRASIL","073160198846000054","073","160","198846","00","0054",ST,STN,"3",S,S,ZEM,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",7789.00,38187.00,RUA VOLUNTARIOS DA PATRIA,"344",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5172678","-46,6277156","0"
"AV VALDEMAR FERREIRA, , SAO PAULO, SAO PAULO,  - BRASIL","200040198994000017","200","040","198994","00","0017",BT,BUT,"1",S,S,"99","0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2138.00,AV VALDEMAR FERREIRA,,R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5701878","-46,7059494","0"
"RUA DO BOSQUE, 855, SAO PAULO, SAO PAULO,  - BRASIL","020008035220000087","020","008","035220","00","0087",SE,SCE,"1",S,S,ZEIS-3,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",2940.00,3033.00,RUA DO BOSQUE,"855",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5256735","-46,656692","0"
"RUA ROMAO GOMES, , SAO PAULO, SAO PAULO,  - BRASIL","200040168521000016","200","040","168521","00","0016",BT,BUT,"2",S,S,"99","0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2138.00,RUA ROMAO GOMES,,R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5685175","-46,7057283","0"
