GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA MANUEL HILARIO, 507, SAO PAULO, SAO PAULO - BRASIL","212003226920000026","212","003","226920","00","0026",PR,PRS,,S,S,ZEIS-1,"0",,,"0","0",S,QA,"3",,,"0","0",MA,"16",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",664.00,439.00,RUA MANUEL HILARIO,"507",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,4025781","-46,7245229","0"
"RUA SANTA CRUZ, 517, SAO PAULO, SAO PAULO - BRASIL","212003368431000025","212","003","368431","00","0025",PR,PRS,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"3",,,"0","0",MA,"16",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",433.00,143.00,RUA SANTA CRUZ,"517",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5968473","-46,6315695","0"
"AVENIDA FAGUNDES FILHO, 190, SAO PAULO, SAO PAULO - BRASIL","047173068837010000","047","173","068837","01","0000",VM,SAU,"3",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1474.00,AVENIDA FAGUNDES FILHO,"190",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,6270391","-46,6398","1"
"RUA DOS DEMOCRATAS, 509, SAO PAULO, SAO PAULO - BRASIL","047174057860010000","047","174","057860","01","0000",VM,SAU,"1",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1100.00,RUA DOS DEMOCRATAS,"509",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,6287435","-46,6373912","1"
"RUA SOCRATES, 853, SAO PAULO, SAO PAULO - BRASIL","090463041211010000","090","463","041211","01","0000",SA,CGR,"3",S,S,ZC,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"13",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,11672.00,RUA SOCRATES,"853",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,6617486","-46,6918229","1"
"RUA TOPAZIO, 478, SAO PAULO, SAO PAULO - BRASIL","038114190837010000","038","114","190837","01","0000",SE,LIB,"2",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2040.00,RUA TOPAZIO,"478",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,574707","-46,6335324","1"
"RUA DO PARAISO, 68, SAO PAULO, SAO PAULO - BRASIL","038025154458010000","038","025","154458","01","0000",VM,VMN,,S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,618.00,RUA DO PARAISO,"68",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,5726257","-46,6423376","1"
"RUA RAIMUNDO MAGALHAES, 31, SAO PAULO, SAO PAULO - BRASIL","112818346713000015","112","818","346713","00","0015",MP,SMI,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",69.00,70.00,RUA RAIMUNDO MAGALHAES,"31",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,"3","2021","-23,5201883","-46,711604","0"
"RUA CAYOWAA, 1194, SAO PAULO, SAO PAULO - BRASIL","012068038768010000","012","068","038768","01","0000",LA,PRD,"2",S,S,ZM,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,6014.00,RUA CAYOWAA,"1194",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5387195","-46,6839917","1"
"RUA CARDOSO DE ALMEIDA, 1237, SAO PAULO, SAO PAULO - BRASIL","011022042480010000","011","022","042480","01","0000",LA,PRD,"2",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",ZEPEC,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,880.00,RUA CARDOSO DE ALMEIDA,"1237",D,0.00,0.00,U,,,ZEPEC-AUE.,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5412716","-46,6706731","1"
