GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_M,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA PADRE PEDRO DE SOUZA TENORIO, 11,
SAO PAULO, SAO PAULO - BRASIL","148159159131000026","148","159","1591","00","0026",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",76.00,200.00,RUA PADRE PEDRO DE SOUZA TENORIO,"11",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5833705","-46,5200159","0"
"RUA LAURA SCHMEIL, 135,
SAO PAULO, SAO PAULO - BRASIL","148193210145000061","148","193","2101","00","0061",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",231.00,200.00,RUA LAURA SCHMEIL,"135",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5815348","-46,524856","0"
"RUA LAURA SCHMEIL, 135,
SAO PAULO, SAO PAULO - BRASIL","148193210145000062","148","193","2101","00","0062",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",231.00,200.00,RUA LAURA SCHMEIL,"135",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5815348","-46,524856","0"
"RUA BRACUI, 59,
SAO PAULO, SAO PAULO - BRASIL","148211604364000138","148","211","6043","00","0138",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",101.00,88.00,RUA BRACUI,"59",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5822958","-46,5181987","0"
"RUA BRACUI, 63,
SAO PAULO, SAO PAULO - BRASIL","148211604364000139","148","211","6043","00","0139",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",101.00,88.00,RUA BRACUI,"63",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5823068","-46,5181235","0"
"RUA ALGER, 158,
SAO PAULO, SAO PAULO - BRASIL","148211351059000140","148","211","3510","00","0140",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",133.00,107.00,RUA ALGER,"158",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5841922","-46,5188143","0"
"RUA ALGER, 158,
SAO PAULO, SAO PAULO - BRASIL","148211351059000141","148","211","3510","00","0141",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",133.00,107.00,RUA ALGER,"158",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5841922","-46,5188143","0"
"RUA ANTONIO DENARDI, 52,
SAO PAULO, SAO PAULO - BRASIL","148257642266000034","148","257","6422","00","0034",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",65.00,69.00,RUA ANTONIO DENARDI,"52",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5819075","-46,5272158","0"
"RUA ANTONIO DENARDI, 56,
SAO PAULO, SAO PAULO - BRASIL","148257642266000035","148","257","6422","00","0035",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",67.00,71.00,RUA ANTONIO DENARDI,"56",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5818774","-46,5272629","0"
"RUA ANTONIO DENARDI, 60,
SAO PAULO, SAO PAULO - BRASIL","148257642266000036","148","257","6422","00","0036",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",67.00,71.00,RUA ANTONIO DENARDI,"60",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5819135","-46,5272891","0"
